"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-07-17","0.00","0.0","91","56"
"USC00050848","BOULDER, CO US","2021-07-18","0.00","0.0","91","56"
"USC00050848","BOULDER, CO US","2021-07-19","0.00","0.0","92","58"
"USC00050848","BOULDER, CO US","2021-07-20","0.00","0.0","93","56"
"USC00050848","BOULDER, CO US","2021-07-21","0.00","0.0","89","61"
"USC00050848","BOULDER, CO US","2021-07-22","0.00","0.0","94","61"
"USC00050848","BOULDER, CO US","2021-07-23","0.12","0.0","93","65"
"USC00050848","BOULDER, CO US","2021-07-24","0.01","0.0","86","62"
"USC00050848","BOULDER, CO US","2021-07-25","0.00","0.0","90","61"
"USC00050848","BOULDER, CO US","2021-07-26","0.60","0.0","91","56"
"USC00050848","BOULDER, CO US","2021-07-27","0.00","0.0","93","55"
"USC00050848","BOULDER, CO US","2021-07-28","0.00","0.0","95","58"
"USC00050848","BOULDER, CO US","2021-07-29","0.00","0.0","89","58"
"USC00050848","BOULDER, CO US","2021-07-30","0.02","0.0","91","61"
"USC00050848","BOULDER, CO US","2021-07-31","0.48","0.0","76","61"
"USC00050848","BOULDER, CO US","2021-08-01","0.00","0.0","80","56"
"USC00050848","BOULDER, CO US","2021-08-02","0.00","0.0","85","54"
"USC00050848","BOULDER, CO US","2021-08-03","0.03","0.0","82","62"
"USC00050848","BOULDER, CO US","2021-08-04","0.09","0.0","81","60"
"USC00050848","BOULDER, CO US","2021-08-05","0.00","0.0","91","54"
"USC00050848","BOULDER, CO US","2021-08-06","0.03","0.0","90","53"
"USC00050848","BOULDER, CO US","2021-08-07","0.00","0.0","81","57"
"USC00050848","BOULDER, CO US","2021-08-08","0.00","0.0","91","57"
"USC00050848","BOULDER, CO US","2021-08-09","0.00","0.0","94","59"
"USC00050848","BOULDER, CO US","2021-08-10","0.00","0.0","94","56"
"USC00050848","BOULDER, CO US","2021-08-11","0.00","0.0","93","57"
"USC00050848","BOULDER, CO US","2021-08-12","0.00","0.0","86","60"
"USC00050848","BOULDER, CO US","2021-08-13","0.00","0.0","84","55"
"USC00050848","BOULDER, CO US","2021-08-14","0.00","0.0","93","56"
"USC00050848","BOULDER, CO US","2021-08-15","0.03","0.0","89","62"
"USC00050848","BOULDER, CO US","2021-08-16","0.00","0.0","91","56"
